No.,Title,URL,View,Date
80,중앙대 산업보안학과 박리원 박사과정 글로벌 차...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=620,"1,180",2018.06.19
81,중앙대 산업보안학과 학부생 '2018 정보보호 방안...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=595,"1,112",2018.05.29
82,"""중앙대 산업보안학과 장항배 교수, IT 서비스 우...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=588,"1,002",2018.05.24
83,"“전자서명제도, 각계 목소리 담아야”",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=582,797,2018.05.21
84,"중앙대 산업보안학과 이재우 교수, 학술대회 우수...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=581,951,2018.05.21
85,산업융합비즈니스모델 논문공모전 수상,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=580,708,2018.05.21
86,보안용어 혼재에 대한 학문적 정체성 확립 필요,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=575,792,2018.05.17
87,"특허괴물, FIDO 인증시장에 손대기 시작했다.",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=561,733,2018.04.17
88,미래직업 10선: 정보보안 전문가 시대가 온다.,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=558,"1,097",2018.04.08
89,정보보호관리체계: 이벤트 vs. 습관,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=556,901,2018.04.02
90,중국으로 빼돌려진 한국 국가핵심기술만 12개,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=10&skey=&keyword=&mode=view&bltn_seq=549,923,2018.03.29
91,"""산업보안학과 3단계(Gold) 커리큘럼 인증""",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=523,847,2018.02.27
92,"“4차 산업혁명 시대, 중앙대 산업보안학과가 ‘...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=522,"1,057",2018.02.27
93,우리가 산업보안 투자를 확대해야 하는 이유,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=519,602,2018.02.27
94,인간중심 보안 구현 위한 전략과 실행방안,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=518,571,2018.02.27
95,데이터 기반 보안 위한 전략과 실행방안 3가지,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=517,906,2018.02.22
96,"LG CNS-중앙대, SW개발 전문가 육성",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=516,"1,101",2018.02.22
97,FIDO산업포럼 회장에 이기혁 중앙대 교수 ,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=508,963,2018.02.12
